CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Parent,Customer Priority,customar Full Name (cc),Customer_full_name,Length of fill name,Parents_Exam,Customer_priority_Exam,Income_level_Exam,Education_catogery_exam,Birth_year_Exam
13103,MR.,BRENDAN,RAJI,02-Aug-63,S,M,brendan19@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. BRENDAN RAJI,MR. BRENDAN RAJI,16,No,Standard,Average,Undergraduate,1963
13104,MR.,GREGORY,BECKER,12-Apr-63,S,M,gregory24@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. GREGORY BECKER,MR. GREGORY BECKER,18,No,Standard,Average,Undergraduate,1963
13124,MR.,MARCO,VANCE,01-Mar-64,S,M,marco4@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. MARCO VANCE,MR. MARCO VANCE,15,No,Standard,Average,Undergraduate,1964
13125,MR.,ALEJANDRO,HU,08-Jul-64,S,M,alejandro23@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ALEJANDRO HU,MR. ALEJANDRO HU,16,No,Standard,Average,Undergraduate,1964
13127,MR.,SHANE,FERNANDEZ,10-Dec-64,S,M,shane18@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. SHANE FERNANDEZ,MR. SHANE FERNANDEZ,19,No,Standard,Average,Undergraduate,1964
13618,MR.,JAY,RAMAN,14-Nov-76,S,M,jay19@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JAY RAMAN,MR. JAY RAMAN,13,No,Standard,Average,Undergraduate,1976
13620,MR.,DAMIEN,YE,01-Feb-76,S,M,damien7@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. DAMIEN YE,MR. DAMIEN YE,13,No,Standard,Average,Undergraduate,1976
13969,MR.,ROY,MARTINEZ,11-Feb-68,S,M,roy18@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ROY MARTINEZ,MR. ROY MARTINEZ,16,No,Standard,Average,Undergraduate,1968
13970,MR.,PEDRO,RANA,17-Apr-68,S,M,pedro11@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. PEDRO RANA,MR. PEDRO RANA,14,No,Standard,Average,Undergraduate,1968
13972,MR.,EUGENE,LIANG,02-Apr-65,S,M,eugene21@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. EUGENE LIANG,MR. EUGENE LIANG,16,No,Standard,Average,Undergraduate,1965
14058,MR.,JOHNNY,ANAND,14-Jun-65,S,M,johnny23@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JOHNNY ANAND,MR. JOHNNY ANAND,16,No,Standard,Average,Undergraduate,1965
14216,MR.,EDWIN,ZHENG,06-Nov-74,S,M,edwin20@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. EDWIN ZHENG,MR. EDWIN ZHENG,15,No,Standard,Average,Undergraduate,1974
14315,MR.,CARL,CHANDER,04-Jul-64,S,M,carl15@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CARL CHANDER,MR. CARL CHANDER,16,No,Standard,Average,Undergraduate,1964
15121,MR.,BRENDAN,ANDERSEN,17-Jun-76,S,M,brendan11@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. BRENDAN ANDERSEN,MR. BRENDAN ANDERSEN,20,No,Standard,Average,Undergraduate,1976
15219,MR.,CLAYTON,CHEN,22-Feb-65,S,M,clayton2@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CLAYTON CHEN,MR. CLAYTON CHEN,16,No,Standard,Average,Undergraduate,1965
15220,MR.,MICAH,LIU,10-Sep-64,S,M,micah14@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. MICAH LIU,MR. MICAH LIU,13,No,Standard,Average,Undergraduate,1964
15221,MR.,TROY,ARUN,11-Mar-64,S,M,troy7@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. TROY ARUN,MR. TROY ARUN,13,No,Standard,Average,Undergraduate,1964
15224,MR.,PEDRO,GUTIERREZ,09-Feb-64,S,M,pedro31@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. PEDRO GUTIERREZ,MR. PEDRO GUTIERREZ,19,No,Standard,Average,Undergraduate,1964
15602,MR.,WARREN,WU,18-Jan-68,S,M,warren23@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. WARREN WU,MR. WARREN WU,13,No,Standard,Average,Undergraduate,1968
15607,MR.,RICKY,GILL,22-Sep-64,S,M,ricky14@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RICKY GILL,MR. RICKY GILL,14,No,Standard,Average,Undergraduate,1964
15716,MR.,ROY,MADAN,20-Jun-75,S,M,roy8@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ROY MADAN,MR. ROY MADAN,13,No,Standard,Average,Undergraduate,1975
16180,MR.,KYLE,PEREZ,22-Aug-65,S,M,kyle33@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. KYLE PEREZ,MR. KYLE PEREZ,14,No,Standard,Average,Undergraduate,1965
16609,MR.,GARY,JIMENEZ,13-Aug-74,S,M,gary16@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. GARY JIMENEZ,MR. GARY JIMENEZ,16,No,Standard,Average,Undergraduate,1974
16700,MR.,BILLY,GILL,21-Jun-63,S,M,billy15@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. BILLY GILL,MR. BILLY GILL,14,No,Standard,Average,Undergraduate,1963
17007,MR.,SAMUEL,HAYES,21-Jun-68,S,M,samuel22@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. SAMUEL HAYES,MR. SAMUEL HAYES,16,No,Standard,Average,Undergraduate,1968
17008,MR.,CONNOR,TURNER,28-Apr-68,S,M,connor34@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CONNOR TURNER,MR. CONNOR TURNER,17,No,Standard,Average,Undergraduate,1968
17068,MR.,THOMAS,SMITH,02-Sep-68,S,M,thomas60@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. THOMAS SMITH,MR. THOMAS SMITH,16,No,Standard,Average,Undergraduate,1968
17235,MR.,JOSHUA,JACKSON,13-Oct-74,S,M,joshua13@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JOSHUA JACKSON,MR. JOSHUA JACKSON,18,No,Standard,Average,Undergraduate,1974
17297,MR.,TOMMY,KUMAR,27-Apr-68,S,M,tommy4@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. TOMMY KUMAR,MR. TOMMY KUMAR,15,No,Standard,Average,Undergraduate,1968
17298,MR.,LUCAS,PETERSON,16-May-68,S,M,lucas77@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. LUCAS PETERSON,MR. LUCAS PETERSON,18,No,Standard,Average,Undergraduate,1968
17300,MR.,IVAN,SAI,20-Jan-65,S,M,ivan4@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. IVAN SAI,MR. IVAN SAI,12,No,Standard,Average,Undergraduate,1965
17320,MR.,ALAN,ZHU,24-Sep-64,S,M,alan17@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ALAN ZHU,MR. ALAN ZHU,12,No,Standard,Average,Undergraduate,1964
17322,MR.,DEREK,BECK,20-May-64,S,M,derek18@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. DEREK BECK,MR. DEREK BECK,14,No,Standard,Average,Undergraduate,1964
17623,MR.,AUSTIN,ROBINSON,18-Mar-68,S,M,austin34@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. AUSTIN ROBINSON,MR. AUSTIN ROBINSON,19,No,Standard,Average,Undergraduate,1968
18292,MR.,LOUIS,TANG,09-Aug-64,S,M,louis21@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. LOUIS TANG,MR. LOUIS TANG,14,No,Standard,Average,Undergraduate,1964
18613,MR.,CODY,MURPHY,14-Nov-68,S,M,cody15@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CODY MURPHY,MR. CODY MURPHY,15,No,Standard,Average,Undergraduate,1968
18614,MR.,SETH,WRIGHT,15-May-68,S,M,seth28@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. SETH WRIGHT,MR. SETH WRIGHT,15,No,Standard,Average,Undergraduate,1968
18733,MR.,RAFAEL,GAO,23-Oct-65,S,M,rafael16@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RAFAEL GAO,MR. RAFAEL GAO,14,No,Standard,Average,Undergraduate,1965
19083,MR.,STEVEN,RIVERA,10-Feb-75,S,M,steven26@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. STEVEN RIVERA,MR. STEVEN RIVERA,17,No,Standard,Average,Undergraduate,1975
19168,MR.,NATHAN,KUMAR,19-Oct-63,S,M,nathan25@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. NATHAN KUMAR,MR. NATHAN KUMAR,16,No,Standard,Average,Undergraduate,1963
19584,MR.,TERRANCE,SANCHEZ,08-May-68,S,M,terrance18@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. TERRANCE SANCHEZ,MR. TERRANCE SANCHEZ,20,No,Standard,Average,Undergraduate,1968
19591,MR.,DEREK,RAJI,03-Mar-64,S,M,derek19@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. DEREK RAJI,MR. DEREK RAJI,14,No,Standard,Average,Undergraduate,1964
19595,MR.,CARL,RAJI,16-Mar-63,S,M,carl20@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CARL RAJI,MR. CARL RAJI,13,No,Standard,Average,Undergraduate,1963
19596,MR.,ALLEN,FERNANDEZ,11-May-63,S,M,allen14@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ALLEN FERNANDEZ,MR. ALLEN FERNANDEZ,19,No,Standard,Average,Undergraduate,1963
19612,MR.,MARVIN,SANZ,26-Feb-63,S,M,marvin20@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. MARVIN SANZ,MR. MARVIN SANZ,15,No,Standard,Average,Undergraduate,1963
19613,MR.,RUBEN,GARCIA,20-Sep-63,S,M,ruben16@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RUBEN GARCIA,MR. RUBEN GARCIA,16,No,Standard,Average,Undergraduate,1963
19614,MR.,WYATT,WILLIAMS,04-Aug-63,S,M,wyatt2@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. WYATT WILLIAMS,MR. WYATT WILLIAMS,18,No,Standard,Average,Undergraduate,1963
19947,MR.,DARRYL,LIU,26-May-75,S,M,darryl4@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. DARRYL LIU,MR. DARRYL LIU,14,No,Standard,Average,Undergraduate,1975
20231,MR.,KELVIN,ZHOU,09-Feb-65,S,M,kelvin28@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. KELVIN ZHOU,MR. KELVIN ZHOU,15,No,Standard,Average,Undergraduate,1965
20256,MR.,JAVIER,SERRANO,04-May-64,S,M,javier11@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JAVIER SERRANO,MR. JAVIER SERRANO,18,No,Standard,Average,Undergraduate,1964
20257,MR.,ROY,CARLSON,25-Jul-64,S,M,roy38@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ROY CARLSON,MR. ROY CARLSON,15,No,Standard,Average,Undergraduate,1964
20600,MR.,DENNIS,HU,28-Jan-75,S,M,dennis22@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. DENNIS HU,MR. DENNIS HU,13,No,Standard,Average,Undergraduate,1975
20602,MR.,CASEY,MORENO,27-Aug-76,S,M,casey30@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CASEY MORENO,MR. CASEY MORENO,16,No,Standard,Average,Undergraduate,1976
21184,MR.,HAROLD,RODRIGUEZ,17-Aug-68,S,M,harold16@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. HAROLD RODRIGUEZ,MR. HAROLD RODRIGUEZ,20,No,Standard,Average,Undergraduate,1968
21186,MR.,RANDALL,VAZQUEZ,04-Feb-65,S,M,randall16@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RANDALL VAZQUEZ,MR. RANDALL VAZQUEZ,19,No,Standard,Average,Undergraduate,1965
21190,MR.,PABLO,ROVIRA DIEZ,23-Feb-63,S,M,pablo0@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. PABLO ROVIRA DIEZ,MR. PABLO ROVIRA DIEZ,21,No,Standard,Average,Undergraduate,1963
21209,MR.,RANDALL,MORENO,19-Jun-65,S,M,randall7@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RANDALL MORENO,MR. RANDALL MORENO,18,No,Standard,Average,Undergraduate,1965
21212,MR.,NICOLAS,LAL,23-Nov-64,S,M,nicolas6@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. NICOLAS LAL,MR. NICOLAS LAL,15,No,Standard,Average,Undergraduate,1964
21213,MR.,PETER,BLACK,16-Nov-64,S,M,peter25@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. PETER BLACK,MR. PETER BLACK,15,No,Standard,Average,Undergraduate,1964
21218,MR.,WYATT,RODRIGUEZ,13-Jun-63,S,M,wyatt21@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. WYATT RODRIGUEZ,MR. WYATT RODRIGUEZ,19,No,Standard,Average,Undergraduate,1963
21875,MR.,CEDRIC,NARA,17-Aug-76,S,M,cedric35@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CEDRIC NARA,MR. CEDRIC NARA,15,No,Standard,Average,Undergraduate,1976
21876,MR.,PHILIP,RUBIO,26-Apr-76,S,M,philip20@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. PHILIP RUBIO,MR. PHILIP RUBIO,16,No,Standard,Average,Undergraduate,1976
21968,MR.,JAIME,DENG,04-Aug-68,S,M,jaime25@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JAIME DENG,MR. JAIME DENG,14,No,Standard,Average,Undergraduate,1968
21977,MR.,PHILLIP,MALHOTRA,21-Jul-63,S,M,phillip5@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. PHILLIP MALHOTRA,MR. PHILLIP MALHOTRA,20,No,Standard,Average,Undergraduate,1963
22298,MR.,MARCUS,WILLIAMS,20-Apr-68,S,M,marcus2@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. MARCUS WILLIAMS,MR. MARCUS WILLIAMS,19,No,Standard,Average,Undergraduate,1968
22948,MR.,LUCAS,TURNER,04-Jul-64,S,M,lucas6@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. LUCAS TURNER,MR. LUCAS TURNER,16,No,Standard,Average,Undergraduate,1964
22954,MR.,JUSTIN,THOMPSON,04-Mar-63,S,M,justin43@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JUSTIN THOMPSON,MR. JUSTIN THOMPSON,19,No,Standard,Average,Undergraduate,1963
23212,MR.,JAMES,JONES,16-Apr-68,S,M,james78@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JAMES JONES,MR. JAMES JONES,15,No,Standard,Average,Undergraduate,1968
23213,MR.,NOAH,GREEN,15-Feb-68,S,M,noah40@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. NOAH GREEN,MR. NOAH GREEN,14,No,Standard,Average,Undergraduate,1968
23439,MR.,RAMON,HU,19-Jul-65,S,M,ramon18@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RAMON HU,MR. RAMON HU,12,No,Standard,Average,Undergraduate,1965
23538,MR.,CARLOS,EVANS,17-Jul-63,S,M,carlos26@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CARLOS EVANS,MR. CARLOS EVANS,16,No,Standard,Average,Undergraduate,1963
24331,MR.,CARSON,POWELL,09-Aug-68,S,M,carson7@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CARSON POWELL,MR. CARSON POWELL,17,No,Standard,Average,Undergraduate,1968
24377,MR.,RICHARD,WOOD,24-Sep-68,S,M,richard58@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RICHARD WOOD,MR. RICHARD WOOD,16,No,Standard,Average,Undergraduate,1968
24379,MR.,NOAH,JENKINS,23-Jun-65,S,M,noah3@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. NOAH JENKINS,MR. NOAH JENKINS,16,No,Standard,Average,Undergraduate,1965
24471,MR.,RICARDO,CHANDE,03-Jun-64,S,M,ricardo15@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RICARDO CHANDE,MR. RICARDO CHANDE,18,No,Standard,Average,Undergraduate,1964
24472,MR.,JAKE,HE,23-Oct-64,S,M,jake16@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JAKE HE,MR. JAKE HE,11,No,Standard,Average,Undergraduate,1964
24473,MR.,MARCO,RANA,26-Mar-64,S,M,marco12@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. MARCO RANA,MR. MARCO RANA,14,No,Standard,Average,Undergraduate,1964
24475,MR.,GILBERT,ZHOU,15-Jun-63,S,M,gilbert6@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. GILBERT ZHOU,MR. GILBERT ZHOU,16,No,Standard,Average,Undergraduate,1963
24591,MR.,DEREK,PAL,11-May-74,S,M,derek11@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. DEREK PAL,MR. DEREK PAL,13,No,Standard,Average,Undergraduate,1974
24887,MR.,MICAH,SUN,05-May-75,S,M,micah0@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. MICAH SUN,MR. MICAH SUN,13,No,Standard,Average,Undergraduate,1975
24888,MR.,ROY,SRINI,11-Jan-75,S,M,roy9@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ROY SRINI,MR. ROY SRINI,13,No,Standard,Average,Undergraduate,1975
24892,MR.,ARTHUR,ALVAREZ,24-Apr-75,S,M,arthur28@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ARTHUR ALVAREZ,MR. ARTHUR ALVAREZ,18,No,Standard,Average,Undergraduate,1975
24894,MR.,JAIME,JAI,25-Apr-74,S,M,jaime33@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JAIME JAI,MR. JAIME JAI,13,No,Standard,Average,Undergraduate,1974
25214,MR.,ROGER,CHANDER,04-Feb-63,S,M,roger43@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ROGER CHANDER,MR. ROGER CHANDER,17,No,Standard,Average,Undergraduate,1963
25811,MR.,MIGUEL,WRIGHT,26-Jul-76,S,M,miguel28@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. MIGUEL WRIGHT,MR. MIGUEL WRIGHT,17,No,Standard,Average,Undergraduate,1976
25976,MR.,HUNTER,COLEMAN,17-Apr-68,S,M,hunter2@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. HUNTER COLEMAN,MR. HUNTER COLEMAN,18,No,Standard,Average,Undergraduate,1968
26605,MR.,BRANDON,FOSTER,27-Feb-63,S,M,brandon13@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. BRANDON FOSTER,MR. BRANDON FOSTER,18,No,Standard,Average,Undergraduate,1963
27148,MR.,EDWIN,ZHU,21-Dec-65,S,M,edwin15@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. EDWIN ZHU,MR. EDWIN ZHU,13,No,Standard,Average,Undergraduate,1965
27539,MR.,SAMUEL,WINSTON,09-Jul-68,S,M,samuel69@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. SAMUEL WINSTON,MR. SAMUEL WINSTON,18,No,Standard,Average,Undergraduate,1968
27709,MR.,CLIFFORD,LOPEZ,13-Apr-63,S,M,clifford15@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. CLIFFORD LOPEZ,MR. CLIFFORD LOPEZ,18,No,Standard,Average,Undergraduate,1963
27710,MR.,SEAN,BAILEY,21-Jun-63,S,M,sean23@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. SEAN BAILEY,MR. SEAN BAILEY,15,No,Standard,Average,Undergraduate,1963
28322,MR.,WILLIE,CHEN,23-Jan-64,S,M,willie3@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. WILLIE CHEN,MR. WILLIE CHEN,15,No,Standard,Average,Undergraduate,1964
28323,MR.,NATHAN,MOORE,02-Jun-63,S,M,nathan66@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. NATHAN MOORE,MR. NATHAN MOORE,16,No,Standard,Average,Undergraduate,1963
28719,MR.,NEIL,VAZQUEZ,18-Apr-68,S,M,neil13@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. NEIL VAZQUEZ,MR. NEIL VAZQUEZ,16,No,Standard,Average,Undergraduate,1968
28923,MR.,ROBERTO,HERNANDEZ,07-Aug-75,S,M,roberto3@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ROBERTO HERNANDEZ,MR. ROBERTO HERNANDEZ,21,No,Standard,Average,Undergraduate,1975
28926,MR.,DANNY,SCHMIDT,15-May-76,S,M,danny21@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. DANNY SCHMIDT,MR. DANNY SCHMIDT,17,No,Standard,Average,Undergraduate,1976
29300,MR.,JOE,MADAN,27-Oct-65,S,M,joe10@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. JOE MADAN,MR. JOE MADAN,13,No,Standard,Average,Undergraduate,1965
29306,MR.,RAFAEL,ANAND,16-Aug-63,S,M,rafael46@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. RAFAEL ANAND,MR. RAFAEL ANAND,16,No,Standard,Average,Undergraduate,1963
29307,MR.,ROSS,MALHOTRA,05-Mar-63,S,M,ross4@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ROSS MALHOTRA,MR. ROSS MALHOTRA,17,No,Standard,Average,Undergraduate,1963
29308,MR.,PHILLIP,VANCE,13-Jul-63,S,M,phillip4@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. PHILLIP VANCE,MR. PHILLIP VANCE,17,No,Standard,Average,Undergraduate,1963
29310,MR.,ARMANDO,GUTIERREZ,23-Oct-63,S,M,armando11@adventure-works.com,70000,0,Bachelors,Professional,N,No,Standard,MR. ARMANDO GUTIERREZ,MR. ARMANDO GUTIERREZ,21,No,Standard,Average,Undergraduate,1963
11005,MR.,JULIO,RUIZ,05-Aug-65,S,M,julio1@adventure-works.com,70000,0,Bachelors,Professional,Y,No,Standard,MR. JULIO RUIZ,MR. JULIO RUIZ,14,No,Standard,Average,Undergraduate,1965
11915,MR.,PHILIP,CARLSON,16-Mar-68,S,M,philip17@adventure-works.com,70000,0,Bachelors,Professional,Y,No,Standard,MR. PHILIP CARLSON,MR. PHILIP CARLSON,18,No,Standard,Average,Undergraduate,1968
11917,MR.,ROY,SANZ,22-Oct-65,S,M,roy40@adventure-works.com,70000,0,Bachelors,Professional,Y,No,Standard,MR. ROY SANZ,MR. ROY SANZ,12,No,Standard,Average,Undergraduate,1965
11986,MR.,MAX,ALVAREZ,24-Jul-63,S,M,max5@adventure-works.com,70000,0,Bachelors,Professional,Y,No,Standard,MR. MAX ALVAREZ,MR. MAX ALVAREZ,15,No,Standard,Average,Undergraduate,1963
14065,MR.,SAMUEL,DIAZ,27-Jul-63,S,M,samuel21@adventure-works.com,70000,0,Bachelors,Professional,Y,No,Standard,MR. SAMUEL DIAZ,MR. SAMUEL DIAZ,15,No,Standard,Average,Undergraduate,1963
15123,MR.,SERGIO,LOPEZ,26-Sep-75,S,M,sergio17@adventure-works.com,70000,0,Bachelors,Professional,Y,No,Standard,MR. SERGIO LOPEZ,MR. SERGIO LOPEZ,16,No,Standard,Average,Undergraduate,1975
15218,MR.,WILLIE,JOHNSEN,06-Sep-65,S,M,willie30@adventure-works.com,70000,0,Bachelors,Professional,Y,No,Standard,MR. WILLIE JOHNSEN,MR. WILLIE JOHNSEN,18,No,Standard,Average,Undergraduate,1965
15227,MR.,HAROLD,MALHOTRA,15-Jun-63,S,M,harold2@adventure-works.com,70000,0,Bachelors,Professional,Y,No,Standard,MR. HAROLD MALHOTRA,MR. HAROLD MALHOTRA,19,No,Standard,Average,Undergraduate,1963
